,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
919,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 2,49042560,-9.0839,-38.3539,0.0,Ativo
920,Jatobá,PE,UHE Luiz Gonzaga (Itaparica) Reservatório 1,49042570,-9.1283,-38.3092,0.0,Ativo
921,Sertânia,PE,Açude Cachoeira I,49090000,-8.0672,-37.2214,0.0,Ativo
922,Sertânia,PE,Açude Barra,49091000,-8.0811,-37.3133,0.0,Ativo
923,Custódia,PE,Açude Custódia (Marrecos),49092000,-8.0769,-37.6019,0.0,Ativo
924,Ibimirim,PE,Poço Da Cruz - Jusante,49135005,-8.5097,-37.7061,410.0,Ativo
925,Ibimirim,PE,Poço Da Cruz - Jusante,49135005,-8.5097,-37.7061,410.0,Ativo
926,Ibimirim,PE,Açude Eng. Francisco Saboia (Poço Da Cruz),49140000,-8.5089,-37.7031,430.0,Ativo
927,Santana Do Ipanema,AL,Açude Riacho Do Bode,49141000,-9.37111,-37.20555,0.0,Manutenção
928,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 8,49208010,-9.1664,-38.2994,0.0,Ativo
929,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 7,49208020,-9.2347,-38.2347,0.0,Ativo
930,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 6,49208030,-9.2711,-38.1661,0.0,Ativo
931,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 5,49208040,-9.3125,-38.2208,0.0,Ativo
932,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 4,49208050,-9.3431,-38.2394,0.0,Ativo
933,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 3,49208060,-9.3489,-38.3489,0.0,Ativo
934,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 2,49208070,-9.3633,-38.2444,0.0,Ativo
935,Delmiro Gouvéia,AL,UHE Apolônio Sales (Moxotó) Reservatório 1,49208090,-9.3767,-38.2339,0.0,Ativo
936,Paulo Afonso,BA,UHE Paulo Afonso IV Reservatório 3,49210040,-9.4086,-38.23,0.0,Ativo
937,Paulo Afonso,BA,UHE Paulo Afonso IV Reservatório 4,49210045,-9.4164,-38.2436,0.0,Ativo
938,Paulo Afonso,BA,"UHEs Paulo Afonso I, II e III Reservatório 1",49210050,-9.3692,-38.2156,0.0,Ativo
939,Paulo Afonso,BA,UHE Paulo Afonso IV Reservatório 1,49210060,-9.4139,-38.215,0.0,Ativo
940,Paulo Afonso,BA,UHE Paulo Afonso IV Reservatório 2,49210075,-9.4267,-38.225,0.0,Ativo
941,Paulo Afonso,BA,UHE Paulo Afonso IV Reservatório 5,49210085,-9.4314,-38.2458,0.0,Ativo
942,Paulo Afonso,BA,"UHEs Paulo Afonso I, II E III Reservatório 2",49210090,-9.3922,-38.2053,0.0,Ativo
943,Piranhas,AL,Piranhas,49330000,-9.6261,-37.7561,10.85,Ativo
944,Canindé De São Francisco,SE,UHE Xingó Reservatório 11,49330970,-9.4406,-38.155,0.0,Ativo
945,Canindé De São Francisco,SE,UHE Xingó Reservatório 10,49330980,-9.4369,-38.0975,0.0,Ativo
946,Canindé De São Francisco,SE,UHE Xingó Reservatório 9,49330990,-9.4711,-38.0222,0.0,Ativo
947,Canindé De São Francisco,SE,UHE Xingó Reservatório 8,49340000,-9.4992,-37.9994,0.0,Ativo
948,Canindé De São Francisco,SE,UHE Xingó Reservatório 7,49340010,-9.5258,-37.9894,0.0,Ativo
949,Canindé De São Francisco,SE,UHE Xingó Reservatório 6,49340020,-9.5456,-37.9192,0.0,Ativo
950,Canindé De São Francisco,SE,UHE Xingó Reservatório 5,49340030,-9.5278,-37.8894,0.0,Ativo
951,Canindé De São Francisco,SE,UHE Xingó Reservatório 4,49340040,-9.5683,-37.8619,0.0,Ativo
952,Canindé De São Francisco,SE,UHE Xingó Reservatório 3,49340050,-9.6061,-37.88,0.0,Ativo
953,Canindé De São Francisco,SE,UHE Xingó Reservatório 2,49340060,-9.6003,-37.8431,0.0,Ativo
954,Canindé De São Francisco,SE,UHE Xingó Reservatório 1,49340070,-9.6183,-37.8003,0.0,Ativo
955,Piranhas,AL,UHE Xingó Jusante 1,49340100,-9.6267,-37.7564,130.0,Ativo
956,Traipu,AL,UHE Xingó Jusante 2,49340200,-9.9725,-37.0025,40.0,Ativo
957,Pedra,PE,Açude Mororó,49369500,-8.4953,-36.9436,0.0,Ativo
958,Buíque,PE,Açude Mulungú,49369800,-8.6314,-37.1319,0.0,Ativo
959,São José Da Tapera,AL,Açude São José Da Tapera,49369900,-9.59416,-37.37861,0.0,Manutenção
960,Venturosa,PE,Açude Ingazeira,49384000,-8.6122,-36.9122,0.0,Ativo
961,Bom Conselho,PE,Açude Limeira II,49405000,-9.2847,-36.7014,0.0,Ativo
962,Águas Belas,PE,Águas Belas Jusante,49480050,-9.135,-37.1597,0.0,Ativo
963,Porto Da Folha,SE,Estação Ilha Do Ouro,49550000,-9.8961,-37.2425,10.8,Ativo
964,Coruripe,AL,Coruripe - Rio Piauí,49590000,-10.1622,-36.3494,0.0,Ativo
965,Igreja Nova,AL,Acude Boa Cica,49601000,-10.1147,-36.6131,0.0,Ativo
966,Gracho Cardoso,SE,Açude Três Barras,49620000,-10.1939,-37.2272,0.0,Ativo
967,Jaramataia,AL,Açude Jaramataia,49640000,-9.6794,-36.9772,0.0,Ativo
